[Aug 9 15:44:20] 
[Aug 9 15:44:20] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.13==
[Aug 9 15:44:20] ----------------------------------------------------
[Aug 9 15:44:20] Installer bootstrap start
[Aug 9 15:44:20] Ready to extract the installer
[Aug 9 15:44:20] Checking permission of destination folder
[Aug 9 15:44:20] ZipArchive exists so using that
[Aug 9 15:44:20] Successfully opened archive file.
[Aug 9 15:44:20] Extracting all files from archive within dup-installer
[Aug 9 15:44:20] Success: dup-installer/dup-database__[HASH].sql >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/inc.css.validation.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff2 >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff2 >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff2 >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/css/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/font-awesome/css/all.min.css >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/inc.css.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/index.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_glass_75_dadada_1x400.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-icons_2e83ff_256x240.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_highlight-soft_75_cccccc_1x100.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-icons_cd0a0a_256x240.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_glass_95_fef1ec_1x400.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-icons_222222_256x240.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-icons_454545_256x240.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-icons_888888_256x240.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_glass_55_fbf9ee_1x400.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/exclamation-triangle-orange.svg >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_glass_65_ffffff_1x400.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/images/ui-bg_glass_75_e6e6e6_1x400.png >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/maintenance.html >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/js/password-strength/README.md >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/js/password-strength/LICENSE.md >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/js/password-strength/passwordstrength.jpg >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/js/password-strength/password.css >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/js/password-strength/password.js >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/normalize.css >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dots-font.css >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dotsfont.woff2 >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dotsfont.eot >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dotsfont.ttf >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dotsfont.svg >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/fonts/dots/dotsfont.woff >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/wp-config-sample.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/inc.js.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/inc.libs.css.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/assets/inc.libs.js >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/parts/top-header.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/parts/validation/tests/wordfence/wordfence-detected.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step1/actions/next.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step1/actions/switch-template.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step1/info-tabs/restore-backup.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step1/step-title.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step2/step-title.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/body/body-tag.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step4/actions/recovery-point-button.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/import-advanced/pages-parts/step4/step-title.php >>> /home/ascania/ascania-cs.com.ua/www
